job_title,job_category,salary_in_usd,experience_level,employment_type,work_setting,neighbourhood_group,neighbourhood,rent,latitude,longitude,amenity,amenity_value
Data Manager,Leadership and Management,145000.0,Senior,Full-time,In-person,Brooklyn,Williamsburg,3200.0,40.71958,-73.95504,min_to_subway,12.0
Research Scientist,Data Science and Research,130000.0,Mid-level,Full-time,In-person,Brooklyn,Williamsburg,3295.0,40.71216,-73.96677,bedrooms,0.0
Data Engineer,Data Engineering,81800.0,Senior,Full-time,In-person,Manhattan,East Village,3865.0,40.72634,-73.97982,has_dishwasher,0.0
Data Scientist,Data Science and Research,150000.0,Senior,Full-time,In-person,Brooklyn,Bedford-Stuyvesant,2800.0,40.68273,-73.94617,floor,3.0
BI Analyst,BI and Visualization,147000.0,Senior,Full-time,Remote,Brooklyn,Crown Heights,2950.0,40.67808,-73.9573,min_to_subway,11.0
Data Scientist,Data Science and Research,131000.0,Mid-level,Full-time,Remote,Manhattan,West Village,3000.0,40.738,-73.99915,has_elevator,1.0
Machine Learning Engineer,Machine Learning and AI,200000.0,Senior,Full-time,In-person,Brooklyn,Prospect-Lefferts Gardens,3395.0,40.65938,-73.95117,has_washer_dryer,0.0
Data Analyst,Data Analysis,90000.0,Mid-level,Full-time,In-person,Brooklyn,Williamsburg,3900.0,40.71279,-73.9641,has_elevator,0.0
Research Scientist,Data Science and Research,145900.0,Senior,Full-time,In-person,Brooklyn,Williamsburg,3285.0,40.70715,-73.93992,has_patio,0.0
Machine Learning Infrastructure Engineer,Machine Learning and AI,221000.0,Senior,Full-time,In-person,Queens,Astoria,3615.0,40.76114,-73.91987,building_age_yrs,14.0
AI Engineer,Machine Learning and AI,50000.0,Mid-level,Contract,Remote,Brooklyn,Williamsburg,9995.0,40.71811,-73.95456,has_patio,0.0
Machine Learning Engineer,Machine Learning and AI,198000.0,Senior,Full-time,Remote,Brooklyn,Williamsburg,4200.0,40.71789,-73.9589,building_age_yrs,91.0
Data Engineer,Data Engineering,101570.0,Senior,Full-time,Remote,Brooklyn,Williamsburg,3995.0,40.7104,-73.94984,has_patio,0.0
Data Engineer,Data Engineering,181500.0,Senior,Full-time,In-person,Brooklyn,Crown Heights,16000.0,40.67046,-73.95618,has_washer_dryer,0.0
Data Analyst,Data Analysis,85000.0,Mid-level,Full-time,In-person,Brooklyn,Bedford-Stuyvesant,9200.0,40.68089,-73.93557,bedrooms,2.0
Research Analyst,Data Science and Research,70000.0,Mid-level,Full-time,In-person,Brooklyn,Bedford-Stuyvesant,4575.0,40.69141,-73.94652,has_elevator,0.0
Machine Learning Engineer,Machine Learning and AI,160000.0,Mid-level,Full-time,In-person,Manhattan,SoHo,3940.0,40.72264,-73.9974,has_elevator,1.0
AI Developer,Machine Learning and AI,192000.0,Senior,Full-time,In-person,Manhattan,Harlem,3620.0,40.80361,-73.95723,building_age_yrs,16.0
Data Science Manager,Data Science and Research,140100.0,Senior,Full-time,In-person,Brooklyn,Crown Heights,2700.0,40.6731,-73.94114,no_fee,0.0
Analytics Engineer,Leadership and Management,138000.0,Senior,Full-time,In-person,Manhattan,Upper West Side,3750.0,40.78687,-73.9746,building_age_yrs,156.0
Data Engineer,Data Engineering,113000.0,Executive,Full-time,In-person,Brooklyn,Prospect-Lefferts Gardens,4850.0,40.66244,-73.94514,bedrooms,2.0
Machine Learning Engineer,Machine Learning and AI,172040.0,Senior,Full-time,Remote,Brooklyn,Greenpoint,7000.0,40.73283,-73.95617,floor,30.0
Research Scientist,Data Science and Research,293000.0,Senior,Full-time,In-person,Brooklyn,Williamsburg,3000.0,40.719,-73.94831,has_roofdeck,0.0
Machine Learning Engineer,Machine Learning and AI,300000.0,Mid-level,Full-time,In-person,Manhattan,Harlem,2995.0,40.81841,-73.95467,floor,1.0
Business Intelligence Engineer,BI and Visualization,79600.0,Mid-level,Full-time,In-person,Brooklyn,Greenpoint,8500.0,40.72852,-73.95655,has_dishwasher,0.0
Data Scientist,Data Science and Research,225000.0,Senior,Full-time,Remote,Queens,Woodside,3700.0,40.74205,-73.90862,size_sqft,795.0
Data Scientist,Data Science and Research,180300.0,Senior,Full-time,Remote,Manhattan,Washington Heights,2995.0,40.84351,-73.9431,no_fee,0.0
Data Scientist,Data Science and Research,140000.0,Senior,Full-time,Remote,Brooklyn,Canarsie,9000.0,40.63841,-73.91589,building_age_yrs,113.0
Data Scientist,Data Science and Research,140100.0,Senior,Full-time,In-person,Brooklyn,Fort Greene,5975.0,40.6884,-73.97332,floor,19.0
Data Engineer,Data Engineering,150000.0,Mid-level,Full-time,Remote,Brooklyn,Bedford-Stuyvesant,5200.0,40.68441,-73.94052,no_fee,1.0
Data Engineer,Data Engineering,103000.0,Mid-level,Full-time,In-person,Manhattan,Hell's Kitchen,3800.0,40.75639,-73.99728,floor,20.0
Research Analyst,Data Science and Research,135960.0,Senior,Full-time,In-person,Manhattan,East Harlem,3750.0,40.79808,-73.94565,has_washer_dryer,0.0
Data Product Manager,Leadership and Management,161000.0,Mid-level,Full-time,In-person,Brooklyn,Gowanus,3500.0,40.66952,-73.99201,has_elevator,0.0
Data Analyst,Data Analysis,250000.0,Mid-level,Full-time,In-person,Manhattan,Little Italy,2450.0,40.71997,-73.99615,has_elevator,0.0
Research Analyst,Data Science and Research,80000.0,Mid-level,Full-time,In-person,Brooklyn,Williamsburg,5300.0,40.71181,-73.96241,has_washer_dryer,0.0
Data Engineer,Data Engineering,130000.0,Senior,Full-time,In-person,Manhattan,Harlem,1625.0,40.80147552490234,-73.95636749267578,floor,6.0
Data Engineer,Data Engineering,125000.0,Senior,Full-time,In-person,Manhattan,Upper West Side,3100.0,40.78518,-73.97068,bedrooms,1.0
Data Engineer,Data Engineering,230300.0,Senior,Full-time,In-person,Manhattan,Harlem,3950.0,40.81006,-73.94559,has_roofdeck,0.0
Business Intelligence Analyst,BI and Visualization,48450.0,Mid-level,Full-time,In-person,Brooklyn,Greenpoint,7600.0,40.73292,-73.95516,bathrooms,2.0
Machine Learning Infrastructure Engineer,Machine Learning and AI,260000.0,Senior,Full-time,Remote,Brooklyn,Bedford-Stuyvesant,3500.0,40.68234,-73.9385,has_dishwasher,0.0
Machine Learning Engineer,Machine Learning and AI,309000.0,Senior,Full-time,In-person,Manhattan,Upper West Side,2353.0,40.7791,-73.9793,has_dishwasher,0.0
Data Analyst,Data Analysis,61520.0,Entry-level,Full-time,In-person,Queens,Astoria,10900.0,40.75677,-73.91624,no_fee,0.0
Data Scientist,Data Science and Research,131200.0,Mid-level,Full-time,Remote,Queens,Jackson Heights,3500.0,40.75394,-73.87986,has_elevator,0.0
Machine Learning Engineer,Machine Learning and AI,200000.0,Executive,Full-time,Remote,Brooklyn,South Slope,1995.0,40.66174,-73.98404,has_roofdeck,0.0
Data Analyst,Data Analysis,100000.0,Senior,Full-time,In-person,Brooklyn,Williamsburg,4135.0,40.71811,-73.95991,size_sqft,657.0
Data Scientist,Data Science and Research,90000.0,Mid-level,Full-time,In-person,Manhattan,East Harlem,6800.0,40.80231,-73.93883,has_gym,0.0
Data Analyst,Data Analysis,67500.0,Mid-level,Full-time,In-person,Brooklyn,Fort Greene,2695.0,40.69284,-73.97452,size_sqft,480.0
Data Scientist,Data Science and Research,226600.0,Senior,Full-time,In-person,Brooklyn,Bushwick,16900.0,40.69341,-73.92266,has_dishwasher,1.0
Data Scientist,Data Science and Research,207345.0,Senior,Full-time,Remote,Manhattan,Chelsea,8800.0,40.73877,-73.99637,bedrooms,2.0
